"cnty_fips","display_name","Value","theme_range"
49005,"""Cache, (UT)""",66,"61.9 - 70.5 (645)"
49007,"""Carbon, (UT)""",65.9,"61.9 - 70.5 (645)"
49009,"""Daggett, (UT)""",53.9,"0.0 - 61.8 (645)"
49011,"""Davis, (UT)""",74.5,"70.6 - 77.9 (646)"
49013,"""Duchesne, (UT)""",65.8,"61.9 - 70.5 (645)"
49015,"""Emery, (UT)""",55.9,"0.0 - 61.8 (645)"
49017,"""Garfield, (UT)""",67.2,"61.9 - 70.5 (645)"
49019,"""Grand, (UT)""",63.4,"61.9 - 70.5 (645)"
49021,"""Iron, (UT)""",64.4,"61.9 - 70.5 (645)"
49023,"""Juab, (UT)""",68.9,"61.9 - 70.5 (645)"
49025,"""Kane, (UT)""",63.5,"61.9 - 70.5 (645)"
49027,"""Millard, (UT)""",63,"61.9 - 70.5 (645)"
49029,"""Morgan, (UT)""",72.7,"70.6 - 77.9 (646)"
49031,"""Piute, (UT)""",76.2,"70.6 - 77.9 (646)"
49033,"""Rich, (UT)""",62.9,"61.9 - 70.5 (645)"
49035,"""Salt Lake, (UT)""",72.3,"70.6 - 77.9 (646)"
49037,"""San Juan, (UT)""",63.8,"61.9 - 70.5 (645)"
49039,"""Sanpete, (UT)""",68.1,"61.9 - 70.5 (645)"
49041,"""Sevier, (UT)""",64.9,"61.9 - 70.5 (645)"
49043,"""Summit, (UT)""",63.8,"61.9 - 70.5 (645)"
49045,"""Tooele, (UT)""",71.3,"70.6 - 77.9 (646)"
49047,"""Uintah, (UT)""",57,"0.0 - 61.8 (645)"
49049,"""Utah, (UT)""",71.4,"70.6 - 77.9 (646)"
49051,"""Wasatch, (UT)""",67.3,"61.9 - 70.5 (645)"
49053,"""Washington, (UT)""",65.6,"61.9 - 70.5 (645)"
49055,"""Wayne, (UT)""",61.7,"0.0 - 61.8 (645)"
49057,"""Weber, (UT)""",71.1,"70.6 - 77.9 (646)"
56003,"""Big Horn, (WY)""",69.9,"61.9 - 70.5 (645)"
56007,"""Carbon, (WY)""",60.3,"0.0 - 61.8 (645)"
56013,"""Fremont, (WY)""",62.6,"61.9 - 70.5 (645)"
56017,"""Hot Springs, (WY)""",67.4,"61.9 - 70.5 (645)"
56023,"""Lincoln, (WY)""",58,"0.0 - 61.8 (645)"
56025,"""Natrona, (WY)""",64,"61.9 - 70.5 (645)"
56029,"""Park, (WY)""",62.5,"61.9 - 70.5 (645)"
56035,"""Sublette, (WY)""",44.1,"0.0 - 61.8 (645)"
56037,"""Sweetwater, (WY)""",57.7,"0.0 - 61.8 (645)"
56039,"""Teton, (WY)""",48.2,"0.0 - 61.8 (645)"
56041,"""Uinta, (WY)""",52.8,"0.0 - 61.8 (645)"
56043,"""Washakie, (WY)""",66.3,"61.9 - 70.5 (645)"
22031,"""De Soto, (LA)""",95.1,"88.5 - 173.8 (642)"
48001,"""Anderson, (TX)""",88.1,"78.0 - 88.4 (638)"
48005,"""Angelina, (TX)""",140.3,"88.5 - 173.8 (642)"
48007,"""Aransas, (TX)""",61.7,"0.0 - 61.8 (645)"
48013,"""Atascosa, (TX)""",83,"78.0 - 88.4 (638)"
48015,"""Austin, (TX)""",60.9,"0.0 - 61.8 (645)"
48019,"""Bandera, (TX)""",81,"78.0 - 88.4 (638)"
48021,"""Bastrop, (TX)""",69.8,"61.9 - 70.5 (645)"
48025,"""Bee, (TX)""",85.3,"78.0 - 88.4 (638)"
48027,"""Bell, (TX)""",66.3,"61.9 - 70.5 (645)"
48029,"""Bexar, (TX)""",82.9,"78.0 - 88.4 (638)"
48031,"""Blanco, (TX)""",65.7,"61.9 - 70.5 (645)"
48035,"""Bosque, (TX)""",89.9,"88.5 - 173.8 (642)"
48039,"""Brazoria, (TX)""",77,"70.6 - 77.9 (646)"
48041,"""Brazos, (TX)""",71.3,"70.6 - 77.9 (646)"
48043,"""Brewster, (TX)""",53.8,"0.0 - 61.8 (645)"
48047,"""Brooks, (TX)""",61.8,"0.0 - 61.8 (645)"
48049,"""Brown, (TX)""",88.8,"88.5 - 173.8 (642)"
48051,"""Burleson, (TX)""",70,"61.9 - 70.5 (645)"
48053,"""Burnet, (TX)""",69.1,"61.9 - 70.5 (645)"
48055,"""Caldwell, (TX)""",71.6,"70.6 - 77.9 (646)"
48057,"""Calhoun, (TX)""",67.7,"61.9 - 70.5 (645)"
48061,"""Cameron, (TX)""",55.2,"0.0 - 61.8 (645)"
48071,"""Chambers, (TX)""",80.4,"78.0 - 88.4 (638)"
48073,"""Cherokee, (TX)""",82.5,"78.0 - 88.4 (638)"
48081,"""Coke, (TX)""",83.1,"78.0 - 88.4 (638)"
48083,"""Coleman, (TX)""",90.8,"88.5 - 173.8 (642)"
48089,"""Colorado, (TX)""",67.8,"61.9 - 70.5 (645)"
48091,"""Comal, (TX)""",68.2,"61.9 - 70.5 (645)"
48093,"""Comanche, (TX)""",84.3,"78.0 - 88.4 (638)"
48095,"""Concho, (TX)""",80.1,"78.0 - 88.4 (638)"
48099,"""Coryell, (TX)""",81.3,"78.0 - 88.4 (638)"
48103,"""Crane, (TX)""",73.5,"70.6 - 77.9 (646)"
48105,"""Crockett, (TX)""",67.5,"61.9 - 70.5 (645)"
48109,"""Culberson, (TX)""",58.5,"0.0 - 61.8 (645)"
